,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,liveWeight
11219,11220.0,91.06076911818899,11.714801674560984,2.0,169.0,284.0,1.0,43.0,4.0,0.0,0.01865592935319619,13659.115367728347,120.7702508198793
2292,2293.0,91.05934125718915,11.71463423438779,2.0,29.0,145.0,1.0,50.0,6.0,39.0,0.01865575687663086,13658.901188578371,120.7683571050254
1473,1474.0,91.05823929485798,11.71450501119057,2.0,15.0,130.0,1.0,58.0,9.0,54.0,0.01865562376658444,13658.735894228697,120.76689561652252
8310,8311.0,91.05774207928258,11.714446704491198,1.0,127.0,240.0,1.0,16.0,5.0,0.0,0.018655563706109622,13658.661311892387,120.76623617941986
8873,8874.0,91.05735207022644,11.714400969518456,3.0,127.0,241.0,1.0,73.0,4.0,0.0,0.0186555165955025,13658.602810533966,120.76571892602976
6149,6150.0,91.05706006186183,11.714366726737717,3.0,85.0,199.0,1.0,73.0,4.0,0.0,0.018655481322755716,13658.559009279275,120.76533164703162
7748,7749.0,91.05590215790534,11.714230943465367,2.0,113.0,230.0,1.0,51.0,6.0,0.0,0.018655341455362056,13658.385323685801,120.7637959653917
6110,6111.0,91.05339871734621,11.71393737390863,3.0,85.0,199.0,1.0,69.0,2.0,0.0,0.018655039055828743,13658.009807601931,120.76047575244856
12234,12235.0,91.05320515984556,11.713914676110011,2.0,183.0,299.0,1.0,55.0,8.0,0.0,0.01865501567533082,13657.980773976835,120.76021904488802
8496,8497.0,91.05210194469646,11.713785305999295,2.0,127.0,242.0,1.0,35.0,1.0,0.0,0.018654882414066983,13657.815291704468,120.7587558948229
9623,9624.0,91.05135995002163,11.713698294926875,2.0,141.0,257.0,1.0,60.0,9.0,0.0,0.018654792785914708,13657.703992503246,120.75777181700482
12006,12007.0,91.05132916786317,11.7136946852128,2.0,183.0,296.0,1.0,32.0,0.0,0.0,0.01865478906762948,13657.699375179476,120.75773099186097
9836,9837.0,91.05031536068938,11.713575799656866,3.0,141.0,256.0,1.0,81.0,6.0,0.0,0.018654666606302862,13657.547304103407,120.75638642001245
2878,2879.0,91.05012533530821,11.713553516057313,1.0,43.0,159.0,1.0,18.0,5.0,25.0,0.018654643652472075,13657.518800296231,120.75613439696049
3996,3997.0,91.04998049637047,11.713536531311023,2.0,57.0,172.0,1.0,40.0,3.0,12.0,0.018654626156870326,13657.49707445557,120.7559423028786
4834,4835.0,91.04989871821103,11.713526941477571,2.0,71.0,188.0,1.0,34.0,1.0,0.0,0.018654616278600652,13657.484807731655,120.7558338437812
5641,5642.0,91.0493316519246,11.713460443634139,1.0,85.0,199.0,1.0,24.0,7.0,0.0,0.018654547780685236,13657.399747788691,120.75508176647826
10919,10920.0,91.0489282828706,11.713413141982036,1.0,169.0,283.0,1.0,12.0,3.0,0.0,0.018654499056333006,13657.339242430591,120.75454679425809
5681,5682.0,91.04838369696074,11.713349280332285,1.0,85.0,198.0,1.0,28.0,9.0,0.0,0.01865443327390949,13657.25755454411,120.75382453177818
8295,8296.0,91.04762586956214,11.713260412612748,1.0,127.0,242.0,1.0,15.0,4.0,0.0,0.01865434173331419,13657.143880434322,120.75281945565271
4832,4833.0,91.04674678444391,11.713157325432364,2.0,71.0,188.0,1.0,34.0,1.0,0.0,0.018654235545591157,13657.012017666586,120.75165356027044
11795,11796.0,91.04636806735891,11.713112914628853,1.0,183.0,295.0,1.0,10.0,3.0,0.0,0.018654189799052406,13656.955210103837,120.75115128296937
4841,4842.0,91.04460347989438,11.712905987742616,2.0,71.0,185.0,1.0,35.0,1.0,0.0,0.01865397664849738,13656.690521984157,120.74881098129228
10157,10158.0,91.04438961678031,11.712880908777041,1.0,155.0,269.0,1.0,24.0,7.0,0.0,0.018653950815243913,13656.658442517046,120.74852734320996
10022,10023.0,91.04426267942937,11.712866023286065,1.0,155.0,268.0,1.0,10.0,3.0,0.0,0.018653935482049598,13656.639401914405,120.74835899128563
4250,4251.0,91.04409060047328,11.712845844199856,3.0,57.0,171.0,1.0,65.0,1.0,13.0,0.01865391469604771,13656.613590070992,120.74813076985846
6609,6610.0,91.04374059401717,11.712804800189524,1.0,99.0,215.0,1.0,28.0,9.0,0.0,0.018653872417579955,13656.561089102575,120.74766657031455
4257,4258.0,91.04373825820556,11.712804526277218,3.0,57.0,173.0,1.0,66.0,1.0,11.0,0.01865387213542935,13656.560738730836,120.74766347242117
6419,6420.0,91.04361833008527,11.712790462733754,1.0,99.0,214.0,1.0,9.0,2.0,0.0,0.01865385764890514,13656.54274951279,120.74750441655871
864,865.0,91.04251963168562,11.712661622286156,3.0,1.0,116.0,1.0,87.0,8.0,68.0,0.018653724933411935,13656.377944752843,120.74604725687749
10940,10941.0,91.04226749334369,11.712632054920952,1.0,169.0,281.0,1.0,14.0,4.0,0.0,0.01865369447677223,13656.340124001554,120.74571285589349
5704,5705.0,91.04182763298286,11.712580474063286,1.0,85.0,197.0,1.0,30.0,9.0,0.0,0.018653641344560015,13656.274144947429,120.74512948671466
8654,8655.0,91.03992278284983,11.71235709907355,2.0,127.0,246.0,1.0,52.0,7.0,0.0,0.018653411251343503,13655.988417427474,120.74260316027829
2404,2405.0,91.03937437564885,11.7122927893146,3.0,29.0,142.0,1.0,61.0,0.0,42.0,0.0186533450074152,13655.906156347328,120.74187582977301
10888,10889.0,91.03924442766571,11.71227755077751,1.0,169.0,283.0,1.0,9.0,2.0,0.0,0.018653329310567193,13655.886664149855,120.74170348496777
4228,4229.0,91.03888213222218,11.7122350656814,3.0,57.0,174.0,1.0,63.0,0.0,10.0,0.01865328554770007,13655.832319833327,120.74122298703207
12045,12046.0,91.03871607103439,11.712215592277442,2.0,183.0,299.0,1.0,36.0,1.0,0.0,0.01865326548861966,13655.807410655158,120.74100274672996
4337,4338.0,91.03819146049553,11.712154073068291,3.0,57.0,170.0,1.0,74.0,4.0,14.0,0.018653202119179597,13655.728719074328,120.74030697678452
146,147.0,91.03776154721203,11.712103658668951,1.0,1.0,116.0,1.0,16.0,5.0,68.0,0.018653150188537228,13655.664232081805,120.73973680001595
11652,11653.0,91.0377119542249,11.712097843076007,3.0,169.0,282.0,1.0,87.0,8.0,0.0,0.018653144198037066,13655.656793133736,120.73967102682347
5739,5740.0,91.0373356468233,11.712053714847485,2.0,85.0,199.0,1.0,34.0,1.0,0.0,0.01865309874262864,13655.600347023494,120.73917194538899
12531,12532.0,91.03610889300468,11.711909857797059,3.0,183.0,297.0,1.0,84.0,7.0,0.0,0.018652950559017206,13655.416333950701,120.73754495093459
12334,12335.0,91.03524246088331,11.711808254388547,3.0,183.0,296.0,1.0,65.0,1.0,0.0,0.01865284589985854,13655.286369132496,120.73639583671526
3388,3389.0,91.03448729126744,11.711719698337722,3.0,43.0,158.0,1.0,70.0,3.0,26.0,0.018652754680470427,13655.173093690117,120.73539428550059
3362,3363.0,91.0338662468638,11.71164687067276,3.0,43.0,156.0,1.0,67.0,2.0,28.0,0.018652679662508873,13655.07993702957,120.73457061918275
3662,3663.0,91.03385485709285,11.711645535034894,1.0,57.0,171.0,1.0,7.0,2.0,13.0,0.018652678286701672,13655.078228563927,120.73455551338574
7030,7031.0,91.03139171069346,11.711356690630735,3.0,99.0,214.0,1.0,70.0,3.0,0.0,0.01865238075534641,13654.708756604019,120.73128874097276
8422,8423.0,91.02936630774283,11.711119178841507,1.0,127.0,243.0,1.0,28.0,9.0,0.0,0.018652136100500573,13654.404946161425,120.72860253016292
8831,8832.0,91.02934523742258,11.711116708000105,3.0,127.0,241.0,1.0,69.0,2.0,0.0,0.018652133555350114,13654.401785613387,120.72857458544108
3759,3760.0,91.02853696459272,11.711021924724538,1.0,57.0,173.0,1.0,17.0,5.0,11.0,0.018652035921530467,13654.280544688907,120.72750260556063
3538,3539.0,91.02813509516085,11.710974798927783,3.0,43.0,159.0,1.0,85.0,8.0,25.0,0.018651987378460605,13654.220264274127,120.72696962222925
8133,8134.0,91.02796933889242,11.710955361280632,3.0,113.0,226.0,1.0,89.0,9.0,0.0,0.018651967356241507,13654.195400833863,120.72674978632946
6394,6395.0,91.02782933902436,11.710938943994806,1.0,99.0,212.0,1.0,7.0,2.0,0.0,0.01865195044521907,13654.174400853655,120.7265641101119
9580,9581.0,91.02574553342093,11.71069458353452,2.0,141.0,256.0,1.0,55.0,8.0,0.0,0.018651698735852745,13653.86183001314,120.72380044220283
478,479.0,91.02559130374495,11.710676497569807,2.0,1.0,117.0,1.0,48.0,5.0,67.0,0.018651680105972804,13653.838695561742,120.72359589356094
3879,3880.0,91.02553650354407,11.710670071345458,1.0,57.0,171.0,1.0,28.0,9.0,13.0,0.01865167348648701,13653.830475531611,120.72352321424944
5971,5972.0,91.02553332410349,11.710669698503786,2.0,85.0,201.0,1.0,55.0,8.0,0.0,0.018651673102432546,13653.829998615523,120.72351899748473
2535,2536.0,91.02521106971781,11.710631908879897,3.0,29.0,144.0,1.0,74.0,4.0,40.0,0.018651634176329382,13653.781660457671,120.72309160440028
9731,9732.0,91.02430377239196,11.710525513354423,3.0,141.0,258.0,1.0,70.0,3.0,0.0,0.018651524581090383,13653.645565858795,120.72188829229702
3189,3190.0,91.02291920604033,11.710363150190402,2.0,43.0,158.0,1.0,49.0,6.0,26.0,0.018651357335080967,13653.437880906049,120.72005199740096
7268,7269.0,91.02289560237283,11.710360382272395,1.0,113.0,228.0,1.0,4.0,1.0,0.0,0.01865135448392196,13653.434340355923,120.72002069280217
3914,3915.0,91.02222489981112,11.710281731372126,2.0,57.0,172.0,1.0,32.0,0.0,12.0,0.018651273467717014,13653.333734971668,120.71913116685825
397,398.0,91.02152873451578,11.710200094547787,2.0,1.0,114.0,1.0,41.0,3.0,70.0,0.018651189375798547,13653.229310177367,120.71820787071059
5198,5199.0,91.0190135190131,11.709905144185363,3.0,71.0,187.0,1.0,69.0,2.0,0.0,0.01865088555535027,13652.852027851965,120.71487204113143
9763,9764.0,91.01866860499987,11.709864697347669,3.0,141.0,259.0,1.0,73.0,4.0,0.0,0.018650843892156706,13652.800290749981,120.71441459549055
4258,4259.0,91.01836408118724,11.709828986924922,3.0,57.0,173.0,1.0,66.0,1.0,11.0,0.018650807107817642,13652.754612178087,120.71401071775497
7203,7204.0,91.01778706062916,11.709761321779508,3.0,99.0,214.0,1.0,88.0,9.0,0.0,0.018650737407788474,13652.668059094374,120.71324543850021
9702,9703.0,91.01701560510281,11.709670855937976,3.0,141.0,256.0,1.0,68.0,2.0,0.0,0.018650644221389522,13652.552340765422,120.71222228793476
1322,1323.0,91.01698112925547,11.709666813078165,2.0,15.0,129.0,1.0,43.0,4.0,55.0,0.018650640056949986,13652.547169388321,120.7121765639993
9902,9903.0,91.01687617659155,11.709654505653125,3.0,141.0,255.0,1.0,87.0,8.0,0.0,0.018650627379407512,13652.531426488733,120.71203736948482
10612,10613.0,91.01612309314433,11.709566194239866,3.0,155.0,270.0,1.0,70.0,3.0,0.0,0.018650536412237198,13652.41846397165,120.71103858507205
1143,1144.0,91.01538501747515,11.709479642735278,1.0,15.0,129.0,1.0,24.0,7.0,55.0,0.018650447257909358,13652.307752621273,120.71005970487421
3742,3743.0,91.01513286159434,11.709450073313352,1.0,57.0,173.0,1.0,15.0,4.0,11.0,0.018650416799261892,13652.269929239152,120.70972528062909
1476,1477.0,91.01411914149935,11.709331197968837,2.0,15.0,130.0,1.0,58.0,9.0,54.0,0.01865029434905234,13652.117871224902,120.7083808242697
12216,12217.0,91.01373154977246,11.709285746467684,2.0,183.0,298.0,1.0,53.0,7.0,0.0,0.018650247530720462,13652.059732465868,120.70786677688655
7749,7750.0,91.01293873845748,11.709192776308889,2.0,113.0,230.0,1.0,51.0,6.0,0.0,0.018650151764743456,13651.940810768621,120.706815302994
3373,3374.0,91.01254967275412,11.709147151959769,3.0,43.0,159.0,1.0,69.0,2.0,25.0,0.018650104768372908,13651.882450913117,120.70629930073491
1933,1934.0,91.01235606850446,11.709124448679058,1.0,29.0,143.0,1.0,14.0,4.0,41.0,0.01865008138235704,13651.85341027567,120.70604253117303
12405,12406.0,91.01171219333045,11.709048943730982,3.0,183.0,297.0,1.0,72.0,3.0,0.0,0.01865000360682142,13651.756828999569,120.70518858531891
7981,7982.0,91.00882244681847,11.708710073451234,3.0,113.0,228.0,1.0,74.0,4.0,0.0,0.018649654546102293,13651.323367022771,120.70135603026323
10684,10685.0,91.00872060403499,11.708698130710795,3.0,155.0,272.0,1.0,78.0,5.0,0.0,0.01864964224422453,13651.30809060525,120.70122096025861
9558,9559.0,91.00787157985533,11.708598568669599,2.0,141.0,254.0,1.0,53.0,7.0,0.0,0.018649539688199664,13651.1807369783,120.70009493349514
2017,2018.0,91.00738531487501,11.708541546107506,1.0,29.0,144.0,1.0,22.0,7.0,40.0,0.018649480950886504,13651.10779723125,120.69945001972813
744,745.0,91.00590176711904,11.708367575746784,3.0,1.0,115.0,1.0,75.0,4.0,69.0,0.01864930174900769,13650.885265067856,120.69748244976
404,405.0,91.00324602770046,11.70805614664531,2.0,1.0,114.0,1.0,41.0,3.0,70.0,0.018648980954907815,13650.486904155068,120.6939602489396
7175,7176.0,91.00322151281371,11.708053271871867,3.0,99.0,217.0,1.0,85.0,8.0,0.0,0.018648977993687442,13650.483226922057,120.6939277358272
5741,5742.0,91.0019158038556,11.70790015603348,2.0,85.0,199.0,1.0,34.0,1.0,0.0,0.01864882027353631,13650.287370578339,120.69219602633368
6030,6031.0,91.00171541346442,11.707876656966128,3.0,85.0,199.0,1.0,61.0,0.0,0.0,0.018648796067835996,13650.257312019663,120.69193025658411
205,206.0,91.00163273463119,11.70786696151387,1.0,1.0,114.0,1.0,21.0,6.0,70.0,0.01864878608083506,13650.244910194679,120.69182060295914
3167,3168.0,91.00128799317031,11.707826534910772,2.0,43.0,159.0,1.0,47.0,5.0,25.0,0.01864874443857835,13650.193198975547,120.69136338616751
227,228.0,91.0003176216969,11.707712742904695,1.0,1.0,116.0,1.0,24.0,7.0,68.0,0.018648627224784234,13650.047643254535,120.69007642134866
2565,2566.0,91.00008481644645,11.707685442662262,3.0,29.0,144.0,1.0,77.0,5.0,40.0,0.018648599103610688,13650.012722466967,120.68976766106955
11355,11356.0,91.0000836345473,11.70768530406516,2.0,169.0,287.0,1.0,57.0,8.0,0.0,0.01864859896084591,13650.012545182095,120.68976609356406
8692,8693.0,90.99943934533259,11.707609750564007,2.0,127.0,243.0,1.0,55.0,8.0,0.0,0.018648521135419836,13649.915901799888,120.68891159858434
8719,8720.0,90.99899721138961,11.70755790309146,2.0,127.0,239.0,1.0,58.0,9.0,0.0,0.018648467728876104,13649.84958170844,120.68832521404457
